VENDOR,PART NUMBER,DESCRIPTION,MARKET PRICE (EUR),LAST FOUND LIST PRICE (USD),Weight,Dimension ,Remarks
,030-2481-002,PCA PCIE 6G HBA 9211-8I,,,,,
,108644469,P333T-48V SWITCH,,,,,
,108787466,EPS 4802B,,,,,
,10945,Summit X460-G2 Fan Module FB,,,,,
,13010GE0D271,network transceiver module Fiber optic 1000 Mbit/s SFP 1310 nm,,,,,
,13010GE2DH02,SFP Dual fibre1310nm / 10km / Gigabit Ethernet 1000 BASE-LX,,,,,
,17-05031-01,CABLE ASSY -FIBER OPTIC -LC-SC,,,,,
,1750502106,,,,,,
,180000059252,ZXSDR B8200 TL200 GPS FEDDER ACCESORIES,,,,,
,19009-100B,Rack 2 x fan,,,,,
,19011-100B,Rack 4 x fan,,,,,
,1AB147830035,EPROM COMPACT FLASH 8GB,,,,,
,1AB210830011,LOW LOSS SMF C+BAND DCM 70KM - MU,,,,,
,1AD210060001,OPTINEX TRU ALARMS KIT,,,,,
,21131716,BLANK PLATE - WASN9770,,,,,
,300062,RFU-TU 26G,,,,,
,300564226,,,,,,
,340C32900059,Rail Kit-S400,,,,,
,37-1143-01,POWER CABLE ,,,,,
,440-00071-03,ES2-S1 REDUND IOA,,,,,
,534-120/07,Kit ODU 1+1 Int Unb,,,,,
,64P0252,JDSU 1000 BASE SX,,,,,
,70554,,,,,,
,72309MSTU_070603,MSTU,,,,,
,791-1001-121.39,NET-NET SESSION DIRECTOR,,,,,
,800-05565-03,CNP2J60BAA - ROUTE SWITCH PROCESSOR 8,,,,,
,800-22097-03,System Fan Tray /  WS-C6K-9SLOT,,,,,
,80998,ONEVoip30-1P-2B-NEOSKY,,,,,
,845305,UBBD,,,,,
,848194551,ALARM WIRE PUNCH CARD BSL2,,,,,
,848703419,CONTROLLER CP,,,,,
,857780,Cable,,,,,
,90-4590-01,FABRIC,,,,,
,937659170,,,,,,
,961-00026-11A005,DP710,,,,,
,962-00024-16B,GPX1400/1405 ,,,,,
,990-002348-50,AT-AR440S-50,,,,,
,993997A,Cable_FCI PRC 2402,,,,,
,AA1-X0-06-865-1X2-C,Circuit Breakers,,,,,
,AE/AX12S,ALARM CONTROLLER,,,,,
