VENDOR,PARTNUMBER,Description,LOCATION,QUANTITY,CONDITION
HUAWEI,01071773,PDB480D-16DC Chassis,150122PILv,1,SPARE
HUAWEI,014130196,Optical Cable LC-SC-10MT-SINGLE MODE ,150122PILv,67,SPARE
ERAT,014130276,Optical Cable SC-LC-30MT-SINGLE MODE ,150122PILv,42,SPARE
HUAWEI,014130280,Optical Cable LC-SC-20MT SINGLE MODE ,150122PILv,100,SPARE
JONHON,014130282,Optical Cable SINGLE MODE LC-LC-30MT ,150122PILv,8,SPARE
HUAWEI,014130296,Optical Cable LC-LC-5MT MULTIMODE  ,150122PILv,35,SPARE
HUAWEI,014130368,Optical Cable LC-SC-15MT-SINGLE MODE ,150122PILv,150,SPARE
HUAWEI,014130369,Optical Cable multi MODE SC-LC-20MT,150122PILv,120,SPARE
HUAWEI,014130425,Optical Cable Single Mode LC-SC-50 mt,150122PILv,306,SPARE
HUAWEI,014130505,FIBER TYPE CABLE FC-SC 20MT ,150122PILv,649,SPARE
HUAWEI,014130594,Optical Cable MULTIMODE LC-LC-1MT ,150122PILv,15,SPARE
HUAWEI,014130600,Optical Cable LC-SC-15MT SINGLE MODE ,150122PILv,620,SPARE
HUAWEI,014130616,Optical Cable MULTI MODE LC-LC Armoured 10MT,150122PILv,7,SPARE
HUAWEI,014130640,Optical Cable LC-LC-30MT-SINGLE MODE ,150122PILv,1,SPARE
HUAWEI,014130643,Optical Cable SINGLE MODE 30MT UPC-UPC,150122PILv,40,SPARE
HUAWEI,014130645,Optical Cable DLC / UPC single mode 50mT,150122PILv,0,SPARE
HUAWEI,014130647,Optical Cable  -DLC/UPC -DLC/UPC -single mode -70mt,150122PILv,10,SPARE
HUAWEI,014130650,Optical Cable DLC/UPC - Single Mode 9/125um - 150mt,150122PILv,51,SPARE
HUAWEI,014130670,Optical Cable LC-LC-20MT-SINGLE MODE ,150122PILv,420,SPARE
HUAWEI,014130792,Optical Cable LC-LC MULTI MODE Armoured,150122PILv,12,SPARE
HUAWEI,014130801,Optical Cable LC-SC-40MT-SM Single mode ,150122PILv,160,SPARE
HUAWEI,014130863,Optical Cable MULTIMODE LC-LC-30MT,150122PILv,45,SPARE
HUAWEI,02100054,BTS ENVIRONMENT MONITOR UNIT (EMU),150122PILv,29,SPARE
HUAWEI,021124718,RRU KIT  50CM*12CM*1CM Wall Mount Kit,150122PILv,41,SPARE
HUAWEI,02113718,BTS 3900 Chassis (VER. D - DC -48 V),150122PILv,99,SPARE
HUAWEI,02113719,BTS3900L Chassis,150122PILv,4,SPARE
HUAWEI,02114225,12U Probe Server Base Configuration Chassis,150122PILv,2,SPARE
HUAWEI,02114391,Antenna,150122PILv,5,SPARE
HUAWEI,021150754,BTS Support Mount Kit,150122PILv,50,SPARE
HUAWEI,021152421,WD2K000EIK04 V3R6 Outdoor Base GSM-R,VODAFONE,18,SPARE
HUAWEI,02120472,DC POWER DISTRIBUTION UNIT - DCDU-03B,150124TJKn,1,SPARE
HUAWEI,02120725,HERT WD2MUFAN03C FAN,150122PILv,118,SPARE
HUAWEI,02120730,DCDU-12A,150122PILv,115,SPARE
HUAWEI,02121774,DPD80-16-16 DC Power Distribution Box,150122PILv,8,SPARE
HUAWEI,02121775,FAN-HERT MPE-WD2E15FAN-OFU03D.,150122PILv,71,SPARE
HUAWEI,02122720,DCDU16D,150122PILv,5,SPARE
HUAWEI,02230CJP,IFODU-5D01 -  Installation Accessories(5D) Assembly Kit,150122PILv,370,SPARE
HUAWEI,02231CRN,SPM60A AC Lightning protection box,150122PILv,44,SPARE
HUAWEI,02231EPA,Power connector -WaterProof Round Connector kit,150122PILv,32,SPARE
HUAWEI,02231GJH,WD2M00EEUM00 Embedded Environment Monitoring Unit,150122PILv,94,SPARE
HUAWEI,02232DLB,QWMP4310AAU0  DIN-4.3-10 ADAPTER JUMPER KIT,150122PILv,121,SPARE
HUAWEI,02232PAN,MPE AUX METERIALS KIT FOR BBU 5900,150122PILv,250,SPARE
HUAWEI,02232WES,OXC Cleaning Tools Kit (Mandatory Component For OXC Subrack),VODAFONE,3,SPARE
HUAWEI,02233CEL,GPS Antenna,150122PILv,5,SPARE
HUAWEI,02234854,"DBS 1/2"" SuperFlexible Cable -Antenna Feeder Accessories Kit Per Sector",150122PILv,210,SPARE
HUAWEI,02234858,SBT Kit with AISG CABLE,150122PILv,145,SPARE
HUAWEI,02236527,ALARM UNIT,150122PILv,10,SPARE
