VENDOR,PARTNUMBER,DESCRIPTION,LOCATION,QUANTITY,CONDITION
NOKIA,3HE07943AA,2P 10GE+4P GE 10G ETH CARD (-48/+24VDC),150124JGKn,550,USED
ERICSSON,ROJ208459/1,Transmission Interface Board,150124JGKn,512,USED
ERICSSON,KRC161413/1,RRUS B3 4G 1800MHZ ,150124JGKn,241,USED
HUAWEI,02113607,ATN 950B Assembly Chassis(-48V)  - ANDB00CASE01,150124JGKn,114,USED
CISCO,A900-IMA8S1Z,ASR 900 Combo 8 port SFP GE and 1 port 10GE IM,150124JGKn,106,USED
HUAWEI,03020GSA,BBU3900 - QWL1WBBPB4 - WCDMA BaseBand Processing&Interface Unit,150122PILv,102,USED
,CFP2-100G-SR10,CFP2-100G-SR10-SFP MODULE 850nm MMF 150m MTP/MPO DDM,150122PILv,93,USED
HUAWEI,03056111,ANDD000EX2S0 2 Channels 10GE Optical Interface Board(SFP+),150124JGKn,67,USED
HUAWEI,03054292,4 Channels GE/FE Optical Interface Board  ATN950B AND1EM4F0P1 ,150124JGKn,58,USED
CISCO,A900-PWR1200-D,ASR 900 1200W DC Power Supply,150124JGKn,44,USED
CISCO,A900-RSP3C-400-S,A900-RSP3C-400-S ASR 903 Router Switching Processor Controller,150124JGKn,44,USED
HUAWEI,03057155,UBBPe4 Universal Baseband Processing Unit e4 WD2DUBBPE400,150124JGKn,39,USED
NOKIA,3KC50388AA,PSS-24X POWER SUPPLY FILTER,150124JGKn,36,USED
,GLC-LH-SMD,1000BASE-LX/LH SFP TRANSCEIVER MODULE -MMF/SMF -1310NM -DOM,150124JGKn,33,USED
JUNIPER,MS-MPC-128G,BNDL - Multi-service Services MPC - 128G of Memory - 4 NPUs Enabled - Bundle of MS-MPC-64G and S-MS-MPC-128G-UPG. Requires JunOs 13.2 or higher,150122PILv,30,USED
CISCO,A903-FAN-E,ASR 903 FAN Tray With Filter Slot,150124JGKn,24,USED
NOKIA,3KC35464AA,SC96 - SWITCH CARD 4T8,150124JGKn,24,USED
NOKIA,3AL78836AB,PQ2/EQC,150122PILv,23,USED
CISCO,ASR903-CHASSIS,ASR-903 V01 ASR 903 900 Series Router Chassis,150124JGKn,22,USED
NOKIA,3AL81289AA,1660SM STM16 SLIM PT-UP SFP,150122PILv,22,USED
HUAWEI,02310VTE,WD2M048BBU10 BBU3910 Box,150122PILv,20,USED
NOKIA,3HE08217AA,CFP2 - 100G LR4 10KM LC ROHS6/6 0/70C,150124JGKn,20,USED
NOKIA,3FE53701AD,FANT-F BITS/SYNCE/IEEE1588/TOD ETSI/MII,150124TJKn,20,USED
HUAWEI,02311HKL,WD5M18397100 RRU3971 for Multi-mode 1800MHz (4*40W),150124JGKn,17,USED
NOKIA,8DG62413AA,PSC1-6 - PASSIVE SPLITTER/COMBINER,150124TJKn,17,USED
HUAWEI,02311KHK,RRU3971 - Remote Radio Unit - 1800MHz - Multi-Mode - 4x40W,150122PILv,16,USED
HUAWEI,03024QLM,SL91ISM8 Versatile Dual IF Board RTN 950a,150124TJKn,16,USED
FORTINET,PSU-5000B,Power Supply BUNIT 5000B  INPUT100-220 OUTPUT 48VD,150122PILv,16,USED
HUAWEI,03021PKH,SL91EG4P 2*GE(SFP/RJ45)+2*GE(RJ45/Power over Ethernet)Gigabit Ethernet Board with switch function,150124JGKn,15,USED
HUAWEI,03021YTF,SL91CSHU TDM/Hybrid/Packet system control and Cross-connect Board,150122PILv,14,USED
JUNIPER,CFP-GEN2-100GBASE-LR4,CFP MODUL SMF 10KM 1310NM 740-047682,150124JGKn,12,USED
HUAWEI,03030ESR,TN11MCAB01,150124TJKn,11,USED
CISCO,ASR-9912-SFC110,Shared Forwarding Card (SFC) used in Cisco ASR 9912 router,150124JGKn,10,USED
JUNIPER,SRX5K-SPC-4-15-320,SRX 5000 Series Services processing card,150124JGKn,10,USED
HUAWEI,03030LJV,OptiX OSN 6800 TN12ND2T02 2 X (4 X ODU1 multiplexing OTU2) optical interface board (AFEC Super WDM Tunable) 50GHz (800ps-nm Rx1 PIN Tx1-3dBm 2dBm LC),150124JGKn,10,USED
HUAWEI,03050793,SLQ1 // OPTIX OSN 1500  - SSR1SLQ110  - 4XSTM-1 OPTICAL INTERFACE BOARD,150124JGKn,10,USED
CISCO,QSFP-100G-LR4-S,100GBASE LR4 QSFP Transceiver - LC - 10km over SM,150124JGKn,9,USED
NOKIA,8DG02608AB,SSY - MATRIX AND TIMING (TSS-100),150124JGKn,9,USED
FORTINET,FCTRL-5913C,Networking blade with 2 x 100GE CFP2 Fabric Ports and 2 x 10GE SFP+ Base Ports - Includes 2 SR SFP+.,150122PILv,8,USED
NOKIA,3HE12313AA,SFM - 7950 XRS-20/20E SFM2-X20S,150124JGKn,8,USED
HUAWEI,03030QLW,TN16FIU01 Fiber Interface Board ,150124JGKn,8,USED
ERICSSON,BMK90591/1,POWER SUPPLY SET DC/DC PS - PSU 2715W S,150124JGKn,8,USED
JUNIPER,RE-S-1800X4,Quad Core 1800Ghz with 16G Memory - Redundant - MX s,150122PILv,8,USED
JUNIPER,MPC4E-3D-2CGE-8XGE,2x100GE + 8x10GE MPC4E,150124JGKn,8,USED
JUNIPER,SCBE-MX,Enhanced Switch Control Board,150124JGKn,8,USED
HUAWEI,03055702,Universal Main Processing & Transmission Unit With 2FEGE Interface UMPTB9,150122PILv,8,USED
HUAWEI,03021MXJ,SL91EG4 2*GESFP-RJ45+2*GERJ45 GIGABIT ETHERNET BOARD WITH SWITCH FUNCTION,150124JGKn,8,USED
ERICSSON,ROJ1192325/1,SAU3,150124JGKn,8,USED
HUAWEI,02310QDG,WD5M08LRRU68 RRU3268 for LTE 800M (2*40W),150122PILv,7,USED
NOKIA,3HE03125AA,7705 SAR-8 MDA OC-3/STM-1 POS Card (4 Ports),150122PILv,7,USED
HUAWEI,02310NJB,OptiX RTN.PI-DC B10.power injector,150124TJKn,7,USED
HUAWEI,03058626,HERT BBU WD22UBBPg2 Universal Baseband Processing Unit,150124JGKn,7,USED
HUAWEI,03022TLJ,SLF2CSHO 16*E1(TDM)/2*STM-1(SFP)/4*GE(RJ45)/2*GE(SFP) Hybrid System Control and Cross-connect Board,150122PILv,7,USED
FORTINET,FG-5001E,Fortinet FG-5001E Security blade with 2 x 40GE QSFP+ slots - 2 x 10GE SFP+ slots - 2x GE RJ45 management port - FortiASIC NP6 and CP9 hardware accelerated.,150122PILv,7,USED
HUAWEI,03022HEM,WD2DUBBPD600 Universal Baseband Processing Unit d6 UBBPD6,150124JGKn,6,USED
NOKIA,3AL92112AA,SSY-4XSTM16/4XOC-48 PORT,150124JGKn,6,USED
CISCO,A9K-3KW-AC-V01,3kW AC Power Module,150124JGKn,6,USED
NOKIA,8DG02666AA,0,,6,USED
JUNIPER,MX-MPC3E-3D,MPC3E - Bundle - with Support for 100GE - 40GE and 10,150122PILv,6,USED
JUNIPER,MIC3-3D-1X100GE-CFP,MIC3-3D-1X100GE-CFP MIC with 1x100GE CFP interface,150124JGKn,6,USED
HUAWEI,03020WXP,TN16PIU Power Interface Board,150124JGKn,5,USED
HUAWEI,02311QMD,WD5M185901GB RRU5901 for Multi-Mode 1800MHz(4*40W),150124JGKn,5,USED
CISCO,CFP-100G-LR4,100GBASE-LR4 CFP Module,150124JGKn,5,USED
NOKIA,3HE07158BA,IMM 7x50 12-PT 10GE MultiCore SFP + L3BQ,150122PILv,5,USED
HUAWEI,03038466,NetEngine40 ECR5M0L2XXA20 2-Port 10GBase LAN/WAN-XFP Flexible Card A(P40-A.Supporting 1588v2),150124JGKn,5,USED
HUAWEI,03030REL,NETENGINE40E -CR51L1XE8GF0 -1-PORT 10GBASE LAN/WAN-SFP+ + 8-PORT 100/1000BASE,150124JGKn,5,USED
,PWR-C49M-1000AC,CISCO 4900M AC Power Supply 1000 watts,150124TJKn,5,USED
HUAWEI,03058657,ANKD01EXAS01 10 Channel 10GE Optical Interface Board (SFP+),150124JGKn,4,USED
ALLOT,SGSE-SGCC-300,Sgse-sgcc-300- Card Advanced Allot Cc-300,150124JGKn,4,USED
HUAWEI,03030WEE,CR5D00L2XF71 2-Port 10GBase LAN/WAN-SFP+ Physical Interface Card(PIC),150124JGKn,4,USED
HUAWEI,03023HCL,TN13STG Synchronous Timing Generation Board,150124JGKn,4,USED
HUAWEI,03033CSR,TN17D400240-channel Demultiplexing Board(C_Odd -196.05THz~192.15THz -100GHz -Thermal AWG -LC),150124JGKn,4,USED
HUAWEI,03033CSP,TN17M40V02 40-Channel Multiplexing Board With VOA(C_Odd -196.05THz~192.15THz -100GHz -LC),150124JGKn,4,USED
