Brand,PN,Description,Qty,Condition,Location
NOKIA,084792A,FSMF,263,Used,UK
NOKIA,470239A*,FMCA - Cover Flexi 3U Mounting Front Back,4,Used,UK
NOKIA,470316A,NOKIA EMHA,190,Used,UK
NOKIA,471424A*,ALARM;EXTERNAL;FSEB;WCDMA FLEXI NODE B,1,Used,UK
NOKIA,472181A,FSMF System Module,1,Used,UK
NOKIA,472573A,FXDB Flexi RF Module 900 triple 90W,71,Used,UK
NOKIA,472679A,FXFC,1,Used,UK
NOKIA,472748A*,ANTENNA KIT;GPS;FYGB;LTE,1,Used,UK
NOKIA,472810A*,MODULE;FRGT;FLEXI RF;2100MHZ;3 X 90W,1,Used,UK
NOKIA,472830A,FRHE,38,Used,UK
NOKIA,472849A,472849A - Nokia Radio FRHF 2600MHZ 6T6R 4*60W,1,Used,UK
NOKIA,472858A*,KIT;FLEXIZONE WALL MOUNT;FMWA,1,Used,UK
NOKIA,473096A,ABIA,16,Used,UK
NOKIA,473196A,FZQE,18,Used,UK
NOKIA,473225A,FRHG,322,Used,UK
NOKIA,473302A,Optical Cable Nokia FUFAY,185,Used,UK
NOKIA,473764A,ASIB,26,Used,UK
NOKIA,473764A (LG),ASIB,93,Used,UK
NOKIA,473842A.101,SFP 850NM 9.8 G 300M,3,Used,UK
NOKIA,474216A,AHFIB,62,Used,UK
NOKIA,474802A,474802A Nokia ARPA RF Module 700MHz 474802A.101 RRU 6x60W 6T6R (6 ports),22,Used,UK
NOKIA,474829A.101,AOSB QSFP28 10Km SM E-Temp,12,Used,UK
NOKIA,475075A,AHPCA,137,Used,UK
NOKIA,475169A,AWEUD,27,Used,UK
NOKIA,475266A,ABIO,108,Used,UK
NOKIA,475431A,AEQC,86,Used,UK
ERICSSON,KDV127621/11*,"Baseband BB6630, incl. 6 CPRI ports Ph.HW and Initial Capacity Base format Default Item Replaced by 10040955",93,Used,UK
ERICSSON,KRC161490/1,2217 B1 Radio,28,Used,UK
ERICSSON,KRC161606/1*,Remote radio unit dual-TX RRUS radio 2218 B42 3400-3600MHz to 30+30W,21,Used,UK
ERICSSON,KRC161648/1*,Radio 2218 B40 30+30 10W+10W HWAC included partial IBW 20MHz,17,Used,UK
ERICSSON,KRC161706/1*,Remote Radio Unit 4418 LTE 4 RF Port B40,59,Used,UK
ERICSSON,KRC161753/1,4443 B1 B3,50,Used,UK
ERICSSON,KRC161787/1,4499 B1/B3,0,Used,UK
ERICSSON,KRC161797/1,2238 B8 B20,20,Used,UK
ERICSSON,KRC161860/1*,Radio 8863 B40 20W HWAC included.,200,Used,UK
ERICSSON,KRC161865/1*,Radio 8863 B42 20W HWAC included.,174,Used,UK
ERICSSON,KRC161924/1,KRC161924/1- 6626 66B1 66B3C,8,Used,UK
ERICSSON,KRY1011854/5,AIU Module,5,Used,UK
ERICSSON,KRY1011854/6,AIU 21,1,Used,UK
