item_code,description,vendor,Consumable or not,
2795,VXOC TRANSMISSION UNIT FC-STM-1,,1,
3262,"PMP HT IDU 1XE1,2XLAN,STM1MM DC",NOKIA,1,
3266,PMP HT ODU 26GHZ A-BAND,NOKIA,1,
3267,PMP HT ODU 26GHZ B-BAND,NOKIA,1,
3268,PMP HT ODU 26GHZ C-BAND,NOKIA,1,
3269,PMP HT ODU 26GHZ D-BAND,NOKIA,1,
3270,PMP HT ODU 28GHZ A-BAND,NOKIA,1,
3271,PMP HT ODU 28GHZ B-BAND,NOKIA,1,
3272,PMP HT ODU 28GHZ C-BAND,NOKIA,1,
3273,PMP HT ODU 28GHZ D-BAND,NOKIA,1,
3274,PMP HT ANTENNA 26GHZ 90DEG VER,,1,
3276,PMP HT ANTENNA 28GHZ 90DEG VER,,1,
3278,"PMP RT IDU 4XE1,2XLAN AC",NOKIA,1,
3279,"PMP RT IDU 4XE1,2XLAN DC",NOKIA,1,
3280,"PMP RT IDU 8XE1,2XLAN DC",NOKIA,1,
3282,"PMP RT IDU 8XE1,2XLAN AC LCD ALARM",NOKIA,1,
3313,PMP HT ANTENNA 26GHZ 90DEG HOR,,1,
3314,PMP HT ANTENNA 28GHZ 90DEG HOR,,1,
3344,PMP IDU MOUNTÄ°NG BRACKET 19Ä°N,,1,
3345,PMP IDU MOUNTÄ°NG BRACKET ETSI,,1,
3346,PMP RT ODU 26GHZ A-BAND,NOKIA,1,
3347,PMP RT ODU 26GHZ B-BAND,NOKIA,1,
3348,PMP RT ODU 26GHZ C-BAND,NOKIA,1,
3349,PMP RT ODU 26GHZ D-BAND,NOKIA,1,
3350,PMP RT ODU 28GHZ A-BAND,NOKIA,1,
3351,PMP RT ODU 28GHZ B-BAND,NOKIA,1,
3352,PMP RT ODU 28GHZ C-BAND,NOKIA,1,
3353,PMP RT ODU 28GHZ D-BAND,NOKIA,1,
3371,PMP RT Antenna 26GHz 30cm,,1,
3373,PMP ATTENUATOR 10 DB 26GHZ,,1,
3374,PMP ATTENUATOR 20 DB 26GHZ,,1,
3377,PMP ATTENUATOR 10DB 28GHZ,,1,
3378,PMP ATTENUATOR 20DB 28GHZ,,1,
3418,PMP RT ANTENNA 26GHZ 60CM,NSN,1,
4580,"PMP HT IDU 1XE3/DS3,4XE1,2XLAN DC AL",NOKIA,1,
4942,"PMP HT IDU 12XE1,2XLAN,STM1MM DC",NOKIA,1,
5549,PMP HT COMP DUAL ANTENNA ASSY V-POL,,1,
5550,PMP HT COMP DUAL ANTENNA ASSY H-POL,,1,
5952,TERMINAL VT30 Ä°NC. UK KEYBOARD,,1,
5952,TERMINAL VT30 INC. UK KEYBOARD,NSN,1,
5953,CABLE VT30 S-FTP D25M/RJ45 (10M),,1,
5954,DISPLAY 17 INCH VT30/VDUEV,,1,
6019,ANTENNA CMPX3048DCT,,1,
6815,PMP HT 2:1 ODU COUPLER 26GHZ,,1,
13201,TO BE DEFINED,,1,
14709,TO BE DEFINED,,1,
14719,TO BE DEFINED,,1,
16708,TO BE DEFINED,,1,
18506,TO BE DEFINED,,1,
30220,"SI.RI.DMC.LOCALOSC.LB97,269737MHZ",,1,
30221,"SI.RI.DMC.LOCALOSC.LB97,285088MHZ",,1,
30222,"SI.RI.DMC.LOCALOSC.LB97,300439MHZ",,1,
30224,"SI.RI.DMC.LOCALOSC.LB97,331140MHZ",,1,
30225,"SI.RI.DMC.LOCALOSC.LB97,361842MHZ",,1,
30227,"SI.RI.DMC.LOCALOSC.LB97,407895MHZ",,1,
30228,"SI.RI.DMC.LOCALOSC.LB97,423246MHZ",,1,
30230,"SI.RI.DMC.LOCALOSC.LB97,469298MHZ",,1,
30231,"SI.RI.DMC.LOCALOSC.LB97,561404MHZ",,1,
30232,"SI.RI.DMC.LOCALOSC.LB97,592105MHZ",,1,
30233,"SI.RI.DMC.LOCALOSC.LB97,653509MHZ",,1,
30250,"SI.RI.DMC.LOCALOSC.HB104,410088MHZ",,1,
30251,"SI.RI.DMC.LOCALOSC.HB104,425439MHZ",,1,
30252,"SI.RI.DMC.LOCALOSC.HB104,440789MHZ",,1,
30253,"SI.RI.DMC.LOCALOSC.HB104,456140MHZ",,1,
30254,"SI.RI.DMC.LOCALOSC.HB104,471491MHZ",,1,
30255,"SI.RI.DMC.LOCALOSC.HB104,502193MHZ",,1,
30257,"SI.RI.DMC.LOCALOSC.HB104,548246MHZ",,1,
30258,"SI.RI.DMC.LOCALOSC.HB104,563596MHZ",,1,
30260,"SI.RI.DMC.LOCALOSC.HB104,609649MHZ",,1,
30261,"SI.RI.DMC.LOCALOSC.HB104,701754MHZ",,1,
30262,"SI.RI.DMC.LOCALOSC.HB104,732456MHZ",,1,
30263,"SI.RI.DMC.LOCALOSC.HB104,793860MHZ",,1,
32851.01,TERMINAL VT5500 INC. UK KEYBOARD,,1,
32852,CABLE VT5500 S-FTP D25M/RJ45 (10M),,1,
32853,DISPLAY 17INCH VT5500/VDUEV,,1,
34314,PMP RT ANTENNA EXTENDER KÄ°T /30CM,,1,
34315,AB9400 RT ANTENNA EXTENDER KÄ°T /60CM,,1,
34316,PMP HT ANTENNA EXTENDER KÄ°T,,1,
34317,"PMP RT IDU 12XE1,2XLAN DC",NOKIA,1,
34365.01,AC25-A 1.2-0 EPROM,,1,
34366.03,AC25-A 1.6-0 EPROM,,1,
34370.01,AC25-A 1.8-0 EPROM,,1,
34373.01,AC25-A 1.9-0 EPROM,,1,
34384.01,AC25-A 1.10-0 EPROM (SINGLE),TDR FINLAND,1,
34425.01,EC1P-S 1.14-0 EPROM,,1,
34426.01,ECET 1.28-0 EPROM,,1,
34427.01,EC2ET 1.7-0 EPROM,,1,
34428.01,EC2ET-A 1.9-0 EPROMS (SINGLE),TDR FINLAND,1,
34429.01,EC1P 3.13-0 EPROM,,1,
34430.01,ET2E 1.21-0 EPROMS (SINGLE),TDR FINLAND,1,
34431.01,ET2A 1.7-0 EPROM,,1,
34432.01,AC25-S 4.7-1 EPROM,,1,
34433.01,CL1TG 1.36-0 EPROM (PAIR),TDR FINLAND,1,
34434.01,CL3TG 1.36-0 EPROM (SINGLE),TDR FINLAND,1,
34435.01,CLAB 3.5-0 EPROM,,1,
34436.01,LIA10 5.5-0 EPROM,,1,
34437.01,LIA16 4.2-0 EPROM,,1,
34438.01,LID5 5.3-0 EPROM,,1,
34439.01,LID8T 4.3-0 EPROM,,1,
34440.01,LID8Q 3.3-0 EPROM,,1,
