VENDOR,PN,DESCRIPTION,Warehouse,Quantity,Condition
Nokia,084792A,FSMF,,263,USED
Nokia,470239A*,FMCA - Cover Flexi 3U Mounting Front Back,,4,USED
Nokia,470316A,NOKIA EMHA,,190,USED
Nokia,471424A*,ALARM;EXTERNAL;FSEB;WCDMA FLEXI NODE B,,1,USED
Nokia,472181A,FSMF System Module,,1,USED
Nokia,472573A,FXDB Flexi RF Module 900 triple 90W,,71,USED
Nokia,472679A,FXFC,,1,USED
Nokia,472748A*,ANTENNA KIT;GPS;FYGB;LTE,,1,USED
Nokia,472810A*,MODULE;FRGT;FLEXI RF;2100MHZ;3 X 90W,,1,USED
Nokia,472830A,FRHE,,38,USED
Nokia,472849A,472849A - Nokia Radio FRHF 2600MHZ 6T6R 4*60W,,1,USED
Nokia,472858A*,KIT;FLEXIZONE WALL MOUNT;FMWA,,1,USED
Nokia,473096A,ABIA,,16,USED
Nokia,473196A,FZQE,,18,USED
Nokia,473225A,FRHG,,322,USED
Nokia,473302A,Optical Cable Nokia FUFAY,,185,USED
Nokia,473764A,ASIB,,26,USED
Nokia,473764A (LG),ASIB,,93,USED
Nokia,473842A.101,SFP 850NM 9.8 G 300M,,3,USED
Nokia,474216A,AHFIB,,62,USED
Nokia,474802A,474802A Nokia ARPA RF Module 700MHz 474802A.101 RRU 6x60W 6T6R (6 ports),,22,USED
Nokia,474829A.101,AOSB QSFP28 10Km SM E-Temp,,12,USED
Nokia,475075A,AHPCA,,137,USED
Nokia,475169A,AWEUD,,27,USED
Nokia,475266A,ABIO,,108,USED
Nokia,475431A,AEQC,,86,USED
Ericsson,KDV127621/11*,"Baseband BB6630, incl. 6 CPRI ports Ph.HW and Initial Capacity Base format Default Item Replaced by 10040955",,93,USED
Ericsson,KRC161490/1,2217 B1 Radio,,28,USED
Ericsson,KRC161606/1*,Remote radio unit dual-TX RRUS radio 2218 B42 3400-3600MHz to 30+30W,,21,USED
Ericsson,KRC161648/1*,Radio 2218 B40 30+30 10W+10W HWAC included partial IBW 20MHz,,17,USED
Ericsson,KRC161706/1*,Remote Radio Unit 4418 LTE 4 RF Port B40,,59,USED
Ericsson,KRC161753/1,4443 B1 B3,,50,USED
Ericsson,KRC161787/1,4499 B1/B3,,0,USED
Ericsson,KRC161797/1,2238 B8 B20,,20,USED
Ericsson,KRC161860/1*,Radio 8863 B40 20W HWAC included.,,200,USED
Ericsson,KRC161865/1*,Radio 8863 B42 20W HWAC included.,,174,USED
Ericsson,KRC161924/1,KRC161924/1- 6626 66B1 66B3C,,8,USED
Ericsson,KRY1011854/5,AIU Module,,5,USED
Ericsson,KRY1011854/6,AIU 21,,1,USED
